job_title_clean,salary_target,experience_years_clean,location_clean,work_mode_clean,level_clean,job_title_standardized
front end engineer,14000.0,2.5,Unknown,Unknown,Mid-Level,front end engineer
full stack engineer,90000.0,4.0,Unknown,Unknown,Senior,full stack engineer
front end engineer,85000.0,11.0,Unknown,Unknown,Senior,front end engineer
back end engineer,32000.0,1.5,Unknown,Unknown,Mid-Level,back end engineer
front end engineer,28000.0,1.5,Unknown,Unknown,Junior,front end engineer
front end engineer,63000.0,4.0,Unknown,Unknown,Mid-Level,front end engineer
full stack engineer,21000.0,0.5,Unknown,Unknown,Junior,full stack engineer
full stack engineer,20000.0,2.5,Unknown,Unknown,Junior,full stack engineer
back end engineer,80000.0,4.0,Unknown,Unknown,Senior,back end engineer
back end engineer,25000.0,2.5,Unknown,Unknown,Mid-Level,back end engineer
back end engineer,60000.0,1.5,Unknown,Unknown,Senior,back end engineer
front end engineer,30000.0,1.5,Unknown,Unknown,Mid-Level,front end engineer
back end engineer,25000.0,0.5,Unknown,Unknown,Junior,back end engineer
back end engineer,40000.0,2.5,Unknown,Unknown,Mid-Level,back end engineer
front end engineer,8000.0,0.5,Unknown,Unknown,Mid-Level,front end engineer
back end engineer,35000.0,2.5,Unknown,Unknown,Mid-Level,back end engineer
full stack engineer,25000.0,2.5,Unknown,Unknown,Junior,full stack engineer
back end engineer,23000.0,0.5,Unknown,Unknown,Junior,back end engineer
back end engineer,100000.0,6.0,Unknown,Unknown,Senior,back end engineer
front end engineer,19000.0,1.5,Unknown,Unknown,Junior,front end engineer
front end engineer,66000.0,4.0,Unknown,Unknown,Mid-Level,front end engineer
back end engineer,55000.0,4.0,Unknown,Unknown,Senior,back end engineer
front end engineer,55000.0,4.0,Unknown,Unknown,Senior,front end engineer
back end engineer,30000.0,4.0,Unknown,Unknown,Mid-Level,back end engineer
full stack engineer,31000.0,2.5,Unknown,Unknown,Mid-Level,full stack engineer
front end engineer,32700.0,1.5,Unknown,Unknown,Junior,front end engineer
back end engineer,12500.0,0.5,Unknown,Unknown,Junior,back end engineer
front end engineer,11000.0,0.5,Unknown,Unknown,Junior,front end engineer
full stack engineer,10000.0,1.5,Unknown,Unknown,Junior,full stack engineer
front end engineer,35000.0,4.0,Unknown,Unknown,Mid-Level,front end engineer
.net developer,8000.0,2.0,Greater Cairo,Hybrid,Unknown,back end engineer
android developer,6000.0,0.0,Assiut,Hybrid,Unknown,mobile engineer
android developer,10000.0,1.0,Greater Cairo,Hybrid,Unknown,mobile engineer
devops engineer,10000.0,0.1,Assiut,On-Site,Unknown,devops engineer
java developer,20000.0,1.0,Greater Cairo,On-Site,Unknown,back end engineer
r&d computer vision,15000.0,1.0,Greater Cairo,Remote,Unknown,data/ai engineer
frontend developer | vue.js,5000.0,0.0,Mansoura,On-Site,Unknown,front end engineer
mern full stack developer,10000.0,0.6000000000000001,America,Remote,Unknown,full stack engineer
frontend developer,75000.0,4.0,Unknown,Hybrid,Unknown,front end engineer
